country,population
China,1389270000
India,1327990000
US,326638000
Indonesia,261890900
Pakistan,210608000
Brazil,208668000
Nigeria,193392500
Bangladesh,164006000
Russia,146877088
Japan,126590000
Mexico,123982528
Philippines,105446000
Egypt,96509500
Ethiopia,94352000
Vietnam,93700000
Germany,82521653
Democratic Republic of the Congo,81339900
Iran,81214000
Turkey,80810525
France,67201000
Thailand,66061000
United Kingdom,65648000
Italy,60498707
South Africa,56717000
Myanmar,53370609
Tanzania,51557365
"Korea, South",51446201
Kenya,49699862
Colombia,49633300
Spain,46549045
Argentina,44044811
Ukraine,42403027
Algeria,41697498
Sudan,40782742
Poland,38422346
Iraq,38274618
Uganda,37673800
Canada,37019600
Morocco,34582700
Saudi Arabia,32612641
Malaysia,32407000
Uzbekistan,32345000
Peru,31826018
Venezuela,31431164
Afghanistan,29724323
Ghana,28956587
Mozambique,28861863
Nepal,28825709
Angola,28359634
Yemen,28250000
Madagascar,25571000
North Korea,25491000
Australia,24813300
Ivory Coast,24294750
Taiwan,23572049
Cameroon,23248044
Sri Lanka,21444000
Niger,20651070
Romania,19638000
Burkina Faso,19632147
Mali,18542000
Syria,18270000
Kazakhstan,18157100
Chile,17574003
Malawi,17373185
Netherlands,17197000
Ecuador,16932300
Zambia,16405229
Guatemala,16176133
Cambodia,15848495
Senegal,15726037
Chad,14900000
Somalia,14742523
Zimbabwe,14542235
South Sudan,11868209
Rwanda,11809300
Guinea,11702692
Tunisia,11446300
Belgium,11399335
Cuba,11239224
Bolivia,11145770
Benin,11002578
Haiti,10911819
Greece,10768193
Czech Republic,10597473
Burundi,10400938
Portugal,10309573
Dominican Republic,10169172
Sweden,10112669
Jordan,10074630
Azerbaijan,9867250
Hungary,9797561
Belarus,9491900
United Arab Emirates,9400000
Honduras,8866351
Tajikistan,8931000
Austria,8823054
Israel,8817820
Switzerland,8465234
Papua New Guinea,8151300
Hong Kong (China),7389500
Togo,7178000
Bulgaria,7101859
Sierra Leone,7092113
Paraguay,7052983
Serbia,7040272
El Salvador,6581940
Laos,6492400
Libya,6374616
Nicaragua,6305956
Kyrgyzstan,6140200
Lebanon,6082000
Denmark,5781190
Turkmenistan,5758000
Singapore,5612300
Finland,5516224
Slovakia,5441899
Norway,5290288
Republic of the Congo,5260750
Eritrea,5068831
Costa Rica,4947490
New Zealand,4856850
Palestine,4816503
Ireland,4792500
Central African Republic,4659080
Oman,4639678
Liberia,4289520
Croatia,4154213
Kuwait,4132415
Panama,4098135
Mauritania,3806719
Georgia,3718200
Moldova,3550900
Bosnia and Herzegovina,3511372
Uruguay,3493205
Puerto Rico (U.S.),3411307
Mongolia,3195825
Armenia,2979600
Albania,2876591
Lithuania,2807495
Jamaica,2730894
Qatar,2634234
Namibia,2368747
Lesotho,2233339
Botswana,2230905
The Gambia,2101000
Macedonia,2073702
Slovenia,2065895
Gabon,2025137
Latvia,1929900
Kosovo,1783531
Guinea-Bissau,1553822
Bahrain,1451200
Trinidad and Tobago,1356633
Estonia,1352320
Mauritius,1263820
Equatorial Guinea,1222442
East Timor,1167242
Swaziland,1145970
Djibouti,956985
Fiji,884887
Cyprus,854800
Comoros,806153
Bhutan,796750
Guyana,777859
Solomon Islands,651700
Macau (China),648500
Montenegro,622387
Luxembourg,590667
Western Sahara,552628
Suriname,541638
Cape Verde,537661
Transnistria,475665
Malta,434403
Brunei,417200
Belize,380010
Bahamas,382460
Iceland,348580
Maldives,344023
Northern Cyprus,313626
Vanuatu,289700
Barbados,285719
New Caledonia (France),277000
French Polynesia (France),275918
Abkhazia,240705
Samoa,196315
Saint Lucia,178844
Guam (U.S.),184200
Artsakh,150932
Kiribati,115300
Aruba (Netherlands),110882
Saint Vincent and the Grenadines,109557
United States Virgin Islands (U.S.),104901
Federated States of Micronesia,104600
Jersey (UK),104200
Grenada,103328
Tonga,100600
Seychelles,94205
Antigua and Barbuda,86295
Isle of Man (UK),83314
Andorra,78264
Dominica,71293
Guernsey (UK),62723
Bermuda (UK),61954
Cayman Islands (UK),60413
American Samoa (U.S.),56400
Greenland (Denmark),56171
Northern Mariana Islands (U.S.),55700
Marshall Islands,55000
South Ossetia,53532
Faroe Islands (Denmark),50437
Saint Kitts and Nevis,46204
Sint Maarten (Netherlands),39410
Turks and Caicos Islands (UK),37910
Liechtenstein,37877
Monaco,37550
Saint-Martin (France),36457
San Marino,33290
Gibraltar (UK),33140
British Virgin Islands (UK),28514
Cook Islands (NZ),18100
Palau,17800
Anguilla (UK),13452
Wallis and Futuna (France),11800
Nauru,10800
Tuvalu,10100
Saint Pierre and Miquelon (France),6286
"Saint Helena, Ascension
and Tristan da Cunha (UK)",5633
Montserrat (UK),4922
Falkland Islands (UK),2563
Norfolk Island (Australia),2302
Christmas Island (Australia),2072
Niue (NZ),1470
Tokelau (NZ),1411
Vatican City,800
Cocos (Keeling) Islands (Australia),550
Pitcairn Islands (UK),50
